date,user_id,pp_text,tag,like_point
2014-07-11T06:38:40.000Z,liza_m_galletti,Late night snack run witharami7ove Seaweed Snack a k aCracklololnyclifelatenightseaweedsnack,#nyclife #latenight #seaweedsnack,32
2014-05-10T10:11:57.000Z,vivimbob,landscapelandscape loverKoreaBugakmountain,#landscapelover #Korea #Bugak #mountain,32
2014-05-11T18:27:16.000Z,vivimbob,SeoulKoreahikingBugakmountainlandscapelandscape lover,#Korea #hiking #Bugak #mountain #landscape #landscapelover,31
2014-01-27T21:44:57.000Z,vsgcrisbk,Afternoon snack 2pp OMG it s the bombSoooo good well that is if u like seaweed of course and thank god I do ahahahaseaweedchipshealthychipsfitfoodfitchipwwicequeenswwsisterhoodwwstateofmindweightlossweightwatcherssnacknofilterwholefoodsfindnewproduct,#seaweedchips #healthychips #fitfood #fitchip #wwicequeens #wwsisterhood #wwstateofmind #weightloss #weightwatchers #snack #nofilter #wholefoodsfind #newproduct,31
2014-01-20T13:13:40.000Z,fiona_love_myself,seaweedchipsaddictive,#seaweedchips #addictive,30
2014-08-01T20:20:19.000Z,kfreddie_,Yassss JapaneseSnacksSeaWeedChipsYakisobaMeijiAlmondsOneOfTheBestPartsOfSanDiego,#JapaneseSnacks #SeaWeedChips #Yakisoba #MeijiAlmonds #OneOfTheBestPartsOfSanDiego,29
2014-04-29T00:33:12.000Z,chanelcollette,Day 11 of the100daysofhappy is such a small happy but it s made my nightCleaned out the pantry and found this delicious snackAnyone else love seaweed chips Anyone else know how great of a food this is It s best known benefit is iodineHealthy levels of iodine are critically important for maintaining a healthy thyroidThere is much more so do some research and eat these greens seaweeds not just for sushi eatyourgreensseaweedsnacksnackshealthybetterchipslatenightsnack,#100daysofhappy #eatyourgreens #seaweedsnack #snacks #healthy #betterchips #latenightsnack,29
2014-02-26T00:09:48.000Z,iiiitshannah,I have to make sure I eat these before im 23Not a problem birthdayexpirationseaweedsnackspiceupyourlifenobodylikesyouwhenyoure23,#birthdayexpiration #seaweedsnack #spiceupyourlife #nobodylikesyouwhenyoure23,29
2014-08-14T17:50:45.000Z,bikinifoodie,Oh ya know just what a regular girl would do after a yoga classI reach for seaweedon the top of the photo is wild Atlantic NoriLaver and the Amazing tasting gimMe organicseaweedsnack in Teriyaki flavor crazy goodRawCoconutwater and Raw Ginger I just munch on itthen again I like heatspicygirllikeithotrawcoconutwatercoconutcoconutscoconutwaterscoconutwaterseaweedalkalineveganfoodshareveganglutenfreevegetarianveganfoodvegetarianfoodhealthylifestylehealthyspreadhealthysnackhealthyeatsrawrawbeveragerawdrinksrawfoodsrawfoodantioxidants nori organicfoodantiaging,#Laver #seaweedsnack #Coconutwater #likeithot #rawcoconutwater #coconut #coconuts #coconutwaters #coconutwater #seaweed #alkaline #veganfoodshare #veganglutenfree #vegetarian #veganfood #vegetarianfood #healthylifestyle #healthyspread #healthysnack #healthyeats #raw #rawbeverage #rawdrinks #rawfoods #rawfood #antioxidantsnoriorganicfood #antiaging,28
2014-03-20T18:50:01.000Z,kimberly_boyle,Snacking on nori,,28
2014-08-24T03:21:19.000Z,morganic_lifestyle,Seaweed style snack timeseaweedchipsjalapenohealthychipshealthysnackmunch,#seaweedchips #jalapeno #healthychips #healthysnack #munch,27
2014-07-15T14:46:25.000Z,tonkathegolden,One of Tonka s favorite snacksnoriseaweed Nom nom nom sharingnoriseaweedsnacknobiscuitsformydognomnomnom,#sharing #nori #seaweedsnack #nobiscuitsformydog #nomnomnom,27
2014-05-14T05:11:47.000Z,002_pham,Hot Spicy Crispy Seaweed Strips Chips If you haven t tried them u need too seaweedchips,#seaweedchips,27
